treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselineBA,baselinedbh,tension,year,month,growth,rain,temp,baselineBAind,newdbh,newsize,marggrow
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,Jun,0,3.08,81.83783784,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,Jun,2,3.08,81.83783784,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,Jun,0,3.08,81.83783784,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,Jun,1,3.08,81.83783784,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,Jun,7,3.08,81.83783784,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,Jun,4,3.08,81.83783784,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,Jun,0,3.08,81.83783784,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,Jun,0,3.08,81.83783784,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,Jun,1,3.08,81.83783784,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,Jun,11,3.08,81.83783784,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,Jun,3,3.08,81.83783784,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,Jun,3,3.08,81.83783784,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,Jun,6,3.08,81.83783784,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,Jun,5,3.08,81.83783784,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,Jun,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,Jun,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,Jun,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,Jun,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,Jun,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,Jun,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,Jun,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,Jun,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,Jul,3,2.74,87.13793103,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,Jul,0,2.74,87.13793103,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,Jul,2,2.74,87.13793103,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,Jul,2,2.74,87.13793103,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,Jul,3,2.74,87.13793103,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,Jul,7,2.74,87.13793103,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,Jul,2,2.74,87.13793103,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,Jul,4,2.74,87.13793103,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,Jul,NA,NA,NA,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,Jul,2,2.74,87.13793103,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,Jul,1,2.74,87.13793103,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,Jul,0,2.74,87.13793103,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,Jul,2,2.74,87.13793103,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,Jul,1,2.74,87.13793103,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,Jul,5,2.74,87.13793103,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,Jul,0,2.74,87.13793103,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,Jul,1,2.74,87.13793103,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,Jul,0,2.74,87.13793103,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,Jul,2,2.74,87.13793103,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,Jul,8,2.74,87.13793103,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,Jul,2,2.74,87.13793103,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,Jul,1,2.74,87.13793103,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,Jul,4,2.74,87.13793103,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,Jul,2,2.74,87.13793103,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,Jul,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,Jul,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,Jul,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,Jul,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,Jul,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,Jul,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,Jul,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,Jul,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,Aug,0,5.79,86.25806452,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,Aug,0,5.79,86.25806452,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,Aug,NA,NA,NA,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,Aug,1,5.79,86.25806452,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,Aug,2,5.79,86.25806452,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,Aug,1,5.79,86.25806452,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,Aug,2,6.49,86.26315789,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,Aug,3,6.49,86.26315789,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,Aug,0,6.49,86.26315789,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,Aug,NA,NA,NA,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,Aug,0,6.49,86.26315789,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,Aug,0,6.49,86.26315789,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,Aug,3,6.49,86.26315789,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,Aug,0,6.49,86.26315789,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,Aug,5,6.49,86.26315789,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,Aug,0,6.49,86.26315789,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,Aug,1,6.49,86.26315789,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,Aug,0,6.49,86.26315789,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,Aug,1,6.49,86.26315789,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,Aug,13,6.49,86.26315789,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,Aug,1,6.49,86.26315789,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,Aug,0,6.49,86.26315789,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,Aug,NA,NA,NA,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,Aug,1,6.49,86.26315789,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,Aug,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,Aug,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,Aug,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,Aug,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,Aug,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,Aug,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,Aug,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,Aug,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,Sep,0,3.06,82.20588235,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,Sep,0,3.06,82.20588235,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,Sep,0,3.06,82.20588235,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,Sep,0,3.06,82.20588235,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,Sep,NA,3.06,82.20588235,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,Sep,0,3.06,82.20588235,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,Sep,1,2.3,80.92592593,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,Sep,0,2.3,80.92592593,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,Sep,0,2.3,80.92592593,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,Sep,0,2.3,80.92592593,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,Sep,1,2.3,80.92592593,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,Sep,0,2.3,80.92592593,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,Sep,0,2.3,80.92592593,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,Sep,0,2.3,80.92592593,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,Sep,1,2.3,80.92592593,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,Sep,0,2.3,80.92592593,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,Sep,0,2.3,80.92592593,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,Sep,0,2.3,80.92592593,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,Sep,0,2.3,80.92592593,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,Sep,6,2.3,80.92592593,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,Sep,0,2.3,80.92592593,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,Sep,0,2.3,80.92592593,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,Sep,0,2.3,80.92592593,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,Sep,0,2.3,80.92592593,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,Sep,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,Sep,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,Sep,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,Sep,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,Sep,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,Sep,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,Sep,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,Sep,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,Oct,0,2.91,65.5625,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,Oct,0,2.91,65.5625,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,Oct,0,2.91,65.5625,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,Oct,0,2.91,65.5625,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,Oct,0,2.91,65.5625,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,Oct,0,2.91,65.5625,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,Oct,0,2.91,65.5625,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,Oct,1,2.91,65.5625,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,Oct,0,2.91,65.5625,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,Oct,2,2.91,65.5625,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,Oct,0,2.91,65.5625,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,Oct,0,2.91,65.5625,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,Oct,0,2.91,65.5625,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,Oct,0,2.91,65.5625,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,Oct,0,2.91,65.5625,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,Oct,0,2.91,65.5625,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,Oct,0,2.91,65.5625,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,Oct,0,2.91,65.5625,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,Oct,0,2.91,65.5625,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,Oct,2,2.91,65.5625,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,Oct,0,2.91,65.5625,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,Oct,0,2.91,65.5625,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,Oct,0,2.91,65.5625,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,Oct,1,2.91,65.5625,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,Oct,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,Oct,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,Oct,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,Oct,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,Oct,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,Oct,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,Oct,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,Oct,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,May,0,3.87,67.66666667,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,May,0,3.87,67.66666667,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,May,3,3.87,67.66666667,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,May,0,3.87,67.66666667,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,May,0,3.87,67.66666667,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,May,1,3.87,67.66666667,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2017,May,4,3.87,67.66666667,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2017,May,4,3.87,67.66666667,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2017,May,0,3.87,67.66666667,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2017,May,0,3.87,67.66666667,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2017,May,3,3.87,67.66666667,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2017,May,0,3.87,67.66666667,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2017,May,3,3.87,67.66666667,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2017,May,0,3.87,67.66666667,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2017,May,7,3.87,67.66666667,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2017,May,4,3.87,67.66666667,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,May,0,3.87,67.66666667,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2017,May,0,3.87,67.66666667,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,May,2,3.87,67.66666667,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2017,May,16,3.87,67.66666667,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2017,May,1,3.87,67.66666667,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2017,May,0,3.87,67.66666667,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,May,0,3.87,67.66666667,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,May,1,3.87,67.66666667,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,May,0,3.62,67.40625,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2017,May,0,3.62,67.40625,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2017,May,0,3.62,67.40625,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2017,May,0,3.62,67.40625,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,May,0,3.62,67.40625,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2017,May,1,3.62,67.40625,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2017,May,5,3.62,67.40625,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2017,May,0,3.62,67.40625,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,Jun,8,6,77.39473684,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,Jun,7,6,77.39473684,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,Jun,5,6,77.39473684,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,Jun,4,6,77.39473684,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,Jun,4,6,77.39473684,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,Jun,13,6,77.39473684,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2017,Jun,5,6,77.39473684,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2017,Jun,4,6,77.39473684,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2017,Jun,1,6,77.39473684,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2017,Jun,NA,NA,NA,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2017,Jun,0,6,77.39473684,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2017,Jun,0,6,77.39473684,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2017,Jun,5,6,77.41666667,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2017,Jun,0,6,77.41666667,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2017,Jun,12,6,77.41666667,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2017,Jun,8,6,77.41666667,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,Jun,0,6,77.41666667,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2017,Jun,1,6,77.41666667,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,Jun,2,6,77.41666667,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2017,Jun,17,6,77.41666667,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2017,Jun,6,6,77.41666667,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2017,Jun,NA,NA,NA,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,Jun,4,6,77.39473684,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,Jun,4,6,77.39473684,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,Jun,1,5.88,77.15151515,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2017,Jun,1,5.88,77.15151515,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2017,Jun,1,5.88,77.15151515,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2017,Jun,0,5.88,77.15151515,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,Jun,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2017,Jun,0,5.88,77.15151515,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2017,Jun,9,5.88,77.15151515,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2017,Jun,8,5.88,77.15151515,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,Jul,7,7.9,84,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,Jul,4,7.9,84,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,Jul,4,7.9,84,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,Jul,0,7.9,84,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,Jul,7,7.9,84,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,Jul,9,7.9,84,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2017,Jul,4,7.9,84,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2017,Jul,2,7.9,84,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2017,Jul,4,7.9,84,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2017,Jul,0,7.9,84,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2017,Jul,0,7.9,84,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2017,Jul,0,7.9,84,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2017,Jul,3,7.98,83.5,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2017,Jul,0,7.98,83.5,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2017,Jul,10,7.98,83.5,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2017,Jul,7,7.98,83.5,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,Jul,4,7.98,83.5,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2017,Jul,1,7.98,83.5,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,Jul,2,7.98,83.5,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2017,Jul,12,7.98,83.5,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2017,Jul,6,7.98,83.5,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2017,Jul,0,7.98,83.5,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,Jul,5,7.9,84,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,Jul,3,7.9,84,,,,
