treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselineBA,baselinedbh,tension,year,month,growth,rain,temp,baselineBAind,newdbh,newsize,marggrow
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,Jun,2,11.87,77.65625,111.22014,3.14159,114.36173,3.14159
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,Jun,NA,NA,NA,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,Jun,NA,NA,NA,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,Jun,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,Jun,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,Jun,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,Jun,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,Jun,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,Jun,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,Jun,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,Jun,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,Jul,NA,8.85,78.09,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,Jul,5,8.85,78.09,65.03876698,19.6349375,84.67370448,19.6349375
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,Jul,1,8.85,78.09,83.32282078,0.7853975,84.10821828,0.7853975
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,Jul,0,8.85,78.09,116.8985639,0,116.8985639,0
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,Jul,6,8.85,78.09,349.666821,28.27431,377.941131,28.27431
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,Jul,7,8.85,78.09,298.6473994,38.4844775,337.1318769,38.4844775
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,Jul,4,8.85,78.09,69.3977231,12.56636,81.9640831,12.56636
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,Jul,2,8.85,78.09,510.7047244,3.14159,513.8463144,3.14159
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,Jul,2,8.85,78.09,78.53975,3.14159,81.68134,3.14159
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,Jul,NA,8.85,78.09,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,Jul,1,8.85,78.09,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,Jul,2,8.85,78.09,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,Jul,NA,NA,NA,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,Jul,NA,NA,NA,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,Jul,NA,NA,NA,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,Jul,NA,NA,NA,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,Jul,NA,NA,NA,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,Jul,NA,NA,NA,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,Jul,NA,NA,NA,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,Jul,NA,NA,NA,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,Jul,NA,NA,NA,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,Jul,NA,NA,NA,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,Jul,5,8.85,78.09,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,Jul,2,8.85,78.09,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,Jul,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,Jul,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,Jul,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,Jul,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,Jul,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,Jul,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,Jul,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,Jul,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,Aug,NA,NA,NA,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,Aug,1,4.33,83.57575758,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,Aug,0,6.85,83.70212766,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,Aug,1,6.85,83.70212766,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,Aug,3,4.33,83.57575758,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,Aug,1,4.33,83.57575758,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,Aug,3,4.33,83.57575758,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,Aug,2,4.33,83.57575758,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,Aug,0,4.33,83.57575758,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,Aug,NA,NA,NA,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,Aug,1,4.33,83.57575758,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,Aug,3,4.33,83.57575758,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,Aug,0,6,82.31,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,Aug,1,6,82.31,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,Aug,NA,NA,NA,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,Aug,NA,NA,NA,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,Aug,NA,NA,NA,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,Aug,NA,NA,NA,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,Aug,NA,NA,NA,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,Aug,NA,NA,NA,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,Aug,NA,6,82.31,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,Aug,2,6,82.31,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,Aug,7,4.33,83.57575758,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,Aug,3,4.33,83.57575758,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,Aug,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,Aug,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,Aug,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,Aug,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,Aug,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,Aug,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,Aug,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,Aug,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,Sep,NA,NA,NA,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,Sep,NA,NA,NA,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,Sep,NA,NA,NA,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,Sep,NA,NA,NA,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,Sep,NA,NA,NA,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,Sep,NA,NA,NA,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,Sep,NA,NA,NA,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,Sep,NA,NA,NA,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,Sep,NA,NA,NA,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,Sep,NA,NA,NA,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,Sep,NA,NA,NA,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,Sep,NA,NA,NA,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,Sep,NA,NA,NA,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,Sep,NA,NA,NA,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,Sep,NA,NA,NA,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,Sep,NA,NA,NA,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,Sep,0,4.736666667,82.17582418,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,Sep,0,4.736666667,82.17582418,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,Sep,NA,NA,NA,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,Sep,5,4.736666667,82.17582418,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,Sep,NA,NA,NA,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,Sep,NA,NA,NA,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,Sep,NA,NA,NA,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,Sep,NA,NA,NA,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,Sep,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,Sep,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,Sep,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,Sep,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,Sep,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,Sep,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,Sep,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,Sep,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,Oct,NA,6.27,74.6375,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,Oct,NA,6.27,74.6375,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,Oct,1,4.765,72.72727273,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,Oct,0,4.765,72.72727273,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,Oct,NA,NA,NA,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,Oct,0,6.27,74.6375,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,Oct,1,6.27,74.6375,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,Oct,2,6.27,74.6375,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,Oct,0,6.27,74.6375,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,Oct,NA,NA,NA,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,Oct,1,6.27,74.6375,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,Oct,0,6.27,74.6375,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,Oct,0,4.765,72.72727273,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,Oct,2,4.765,72.72727273,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,Oct,NA,NA,NA,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,Oct,NA,NA,NA,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,Oct,0,7.32,67.88372093,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,Oct,0,7.32,67.88372093,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,Oct,NA,NA,NA,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,Oct,3,7.32,67.88372093,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,Oct,NA,NA,NA,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,Oct,0,4.765,72.72727273,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,Oct,2,6.27,74.6375,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,Oct,1,6.27,74.6375,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,Oct,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,Oct,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,Oct,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,Oct,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,Oct,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,Oct,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,Oct,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,Oct,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,May,0,3.24,62.07142857,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,May,0,3.24,62.07142857,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,May,0,3.24,62.07142857,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,May,1,3.24,62.07142857,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,May,0,3.24,62.07142857,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,May,0,3.24,62.07142857,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,May,2,3.24,62.07142857,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,May,3,3.24,62.07142857,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,May,0,3.24,62.07142857,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,May,1,3.24,62.07142857,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,May,NA,NA,NA,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,May,2,3.24,62.07142857,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,May,0,3.24,62.07142857,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,May,0,3.24,62.07142857,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,May,1,3.24,62.07142857,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,May,1,3.24,62.07142857,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,May,0,3.24,62.07142857,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,May,0,3.24,62.07142857,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,May,0,3.24,62.07142857,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,May,9,3.24,62.07142857,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,May,0,3.24,62.07142857,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,May,0,3.24,62.07142857,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,May,0,3.24,62.07142857,,,,
