treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,growth,rain,temp,olddbh,oldBA,newdbh,newBA,mardbh,marba
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,oct,1.25,4.765,72.72727273,12.6,124.6897071,13.85,150.6569119,1.25,25.96720484
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,oct,NA,NA,NA,17.5,240.5279844,NA,NA,NA,NA
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,oct,NA,NA,NA,20.9,343.069482,NA,NA,NA,NA
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,oct,0,7.32,67.88372093,16.5,213.8244694,16.5,213.8244694,0,0
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,oct,0,7.32,67.88372093,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,oct,NA,NA,NA,13.6,145.2671216,NA,NA,NA,NA
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,oct,3,7.32,67.88372093,19.5333,299.668266,22.5333,398.7852734,3,99.11700742
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,oct,NA,NA,NA,13.9,151.746651,NA,NA,NA,NA
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,oct,0,4.765,72.72727273,15.4,186.2648711,15.4,186.2648711,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,oct,1.5,6.27,74.6375,25.5,510.7047244,27,572.5547775,1.5,61.85005313
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,oct,0.5,6.27,74.6375,15.3,183.8537008,15.8,196.0666319,0.5,12.21293113
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,oct,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,oct,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,oct,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,oct,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,oct,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,oct,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,oct,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,oct,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,may,0,3.24,62.07142857,12.3,118.8227878,12.3,118.8227878,0,0
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,may,0,3.24,62.07142857,14.6,167.4153311,14.6,167.4153311,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,may,0,3.24,62.07142857,11.8,109.3587479,11.8,109.3587479,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,may,1,3.24,62.07142857,13.2,136.8476604,14.2,158.3675519,1,21.5198915
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,may,0,3.24,62.07142857,30.1,711.577989,30.1,711.577989,0,0
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,may,0,3.24,62.07142857,27,572.5547775,27,572.5547775,0,0
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,may,2,3.24,62.07142857,16.9,224.31738,18.9,280.551841,2,56.234461
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,may,3,3.24,62.07142857,31,754.7669975,34,907.91951,3,153.1525125
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,may,0,3.24,62.07142857,11.5,103.8688194,11.5,103.8688194,0,0
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,may,1,3.24,62.07142857,23.4,430.0522551,24.4,467.5942556,1,37.5420005
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,may,NA,NA,NA,12.3,118.8227878,NA,NA,NA,NA
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,may,2,3.24,62.07142857,16.6,216.4241351,18.6,271.7161191,2,55.291984
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,may,0,3.24,62.07142857,14.5,165.1298244,14.5,165.1298244,0,0
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,may,0,3.24,62.07142857,13.85,150.6569119,13.85,150.6569119,0,0
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,may,1,3.24,62.07142857,17.5,240.5279844,18.5,268.8022944,1,28.27431
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,may,1,3.24,62.07142857,20.9,343.069482,21.9,376.684495,1,33.615013
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,may,0,3.24,62.07142857,16.5,213.8244694,16.5,213.8244694,0,0
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,may,0,3.24,62.07142857,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,may,0,3.24,62.07142857,13.6,145.2671216,13.6,145.2671216,0,0
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,may,9,3.24,62.07142857,22.5333,398.7852734,31.5333,780.9592257,9,382.1739523
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,may,0,3.24,62.07142857,15.4,186.2648711,15.4,186.2648711,0,0
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,may,0,3.24,62.07142857,15.4,186.2648711,15.4,186.2648711,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,may,0,3.24,62.07142857,27,572.5547775,27,572.5547775,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,may,0,3.24,62.07142857,15.8,196.0666319,15.8,196.0666319,0,0
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,may,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,may,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,may,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,may,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,may,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,may,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,may,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,may,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,jun,7,3.08,81.83783784,12.3,118.8227878,19.3,292.5527148,7,173.729927
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,jun,6,3.08,81.83783784,14.6,167.4153311,20.6,333.2912831,6,165.875952
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,jun,2,3.08,81.83783784,11.8,109.3587479,13.8,149.5710999,2,40.212352
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,jun,2,3.08,81.83783784,14.2,158.3675519,16.2,206.1197199,2,47.752168
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,jun,1,3.08,81.83783784,30.1,711.577989,31.1,759.644316,1,48.066327
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,jun,13,3.08,81.83783784,27,572.5547775,40,1256.636,13,684.0812225
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,jun,5,3.08,81.83783784,18.9,280.551841,23.9,448.626906,5,168.075065
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,jun,0,3.08,81.83783784,34,907.91951,34,907.91951,0,0
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,jun,0,3.08,81.83783784,11.5,103.8688194,11.5,103.8688194,0,0
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,jun,2,3.08,81.83783784,24.4,467.5942556,26.4,547.3906416,2,79.796386
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,jun,0,3.08,81.83783784,12.3,118.8227878,12.3,118.8227878,0,0
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,jun,2,3.08,81.83783784,18.6,271.7161191,20.6,333.2912831,2,61.575164
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,jun,0,3.08,81.83783784,14.5,165.1298244,14.5,165.1298244,0,0
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,jun,1,3.08,81.83783784,13.85,150.6569119,14.85,173.1978202,1,22.54090825
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,jun,7,3.08,81.83783784,18.5,268.8022944,25.5,510.7047244,7,241.90243
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,jun,4,3.08,81.83783784,21.9,376.684495,25.9,526.852497,4,150.168002
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,jun,0,3.08,81.83783784,16.5,213.8244694,16.5,213.8244694,0,0
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,jun,0,3.08,81.83783784,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,jun,1,3.08,81.83783784,13.6,145.2671216,14.6,167.4153311,1,22.1482095
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,jun,11,3.08,81.83783784,31.5333,780.9592257,42.5333,1420.848173,11,639.8889472
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,jun,3,3.08,81.83783784,15.4,186.2648711,18.4,265.9041776,3,79.6393065
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,jun,3,3.08,81.83783784,15.4,186.2648711,18.4,265.9041776,3,79.6393065
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,jun,6,3.08,81.83783784,27,572.5547775,33,855.2978775,6,282.7431
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,jun,5,3.08,81.83783784,15.8,196.0666319,20.8,339.7943744,5,143.7277425
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,jun,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,jun,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,jun,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,jun,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,jun,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,jun,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,jun,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,jun,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,jul,3,2.74,87.13793103,19.3,292.5527148,23.6,437.4349916,3,104.1437085
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,jul,0,2.74,87.13793103,20.6,333.2912831,13.8,149.5710999,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,jul,2,2.74,87.13793103,13.8,149.5710999,18.2,260.1550679,2,54.035348
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,jul,2,2.74,87.13793103,16.2,206.1197199,33.1,860.489355,2,100.845039
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,jul,3,2.74,87.13793103,31.1,759.644316,43,1452.199978,3,195.5639775
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,jul,7,2.74,87.13793103,40,1256.636,30.9,749.905387,7,301.278481
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,jul,2,2.74,87.13793103,23.9,448.626906,36,1017.87516,2,109.95565
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,jul,4,2.74,87.13793103,34,907.91951,15.5,188.6917494,4,84.82293
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,jul,NA,NA,NA,11.5,103.8688194,NA,NA,NA,NA
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,jul,2,2.74,87.13793103,26.4,547.3906416,28.4,633.4702076,2,86.079566
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,jul,1,2.74,87.13793103,12.3,118.8227878,13.3,138.9289638,1,20.106176
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,jul,0,2.74,87.13793103,20.6,333.2912831,20.6,333.2912831,0,0
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,jul,2,2.74,87.13793103,14.5,165.1298244,16.5,213.8244694,2,48.694645
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,jul,1,2.74,87.13793103,14.85,173.1978202,15.85,197.3095234,1,24.11170325
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,jul,5,2.74,87.13793103,25.5,510.7047244,30.5,730.6160244,5,219.9113
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,jul,0,2.74,87.13793103,25.9,526.852497,25.9,526.852497,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,jul,1,2.74,87.13793103,16.5,213.8244694,17.5,240.5279844,1,26.703515
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,jul,0,2.74,87.13793103,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,jul,2,2.74,87.13793103,14.6,167.4153311,16.6,216.4241351,2,49.008804
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,jul,8,2.74,87.13793103,42.5333,1420.848173,50.5333,2005.602373,8,584.7541998
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,jul,2,2.74,87.13793103,18.4,265.9041776,20.4,326.8510236,2,60.946846
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,jul,1,2.74,87.13793103,18.4,265.9041776,19.4,295.5922031,1,29.6880255
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,jul,3.5,2.74,87.13793103,33,855.2978775,36.5,1046.345819,3.5,191.0479419
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,jul,2,2.74,87.13793103,20.8,339.7943744,22.8,408.2810364,2,68.486662
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,jul,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,jul,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,jul,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,jul,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,jul,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,jul,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,jul,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,jul,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,aug,0,5.79,86.25806452,23.6,437.4349916,23.6,437.4349916,0,0
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,aug,0,5.79,86.25806452,23.6,437.4349916,23.6,437.4349916,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,aug,NA,NA,NA,13.8,149.5710999,NA,NA,NA,NA
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,aug,1,5.79,86.25806452,18.2,260.1550679,19.2,289.5289344,1,29.3738665
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,aug,2,5.79,86.25806452,33.1,860.489355,35.1,967.617574,2,107.128219
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,aug,1,5.79,86.25806452,43,1452.199978,44,1520.52956,1,68.3295825
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,aug,2,6.49,86.26315789,30.9,749.905387,32.9,850.122108,2,100.216721
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,aug,3,6.49,86.26315789,36,1017.87516,39,1194.589598,3,176.7144375
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,aug,0,6.49,86.26315789,15.5,188.6917494,15.5,188.6917494,0,0
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,aug,NA,NA,NA,28.4,633.4702076,NA,NA,NA,NA
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,aug,0,6.49,86.26315789,13.3,138.9289638,13.3,138.9289638,0,0
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,aug,0,6.49,86.26315789,20.6,333.2912831,20.6,333.2912831,0,0
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,aug,3,6.49,86.26315789,16.5,213.8244694,19.5,298.6473994,3,84.82293
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,aug,0,6.49,86.26315789,15.85,197.3095234,15.85,197.3095234,0,0
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,aug,5,6.49,86.26315789,30.5,730.6160244,35.5,989.7971994,5,259.181175
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,aug,0,6.49,86.26315789,25.9,526.852497,25.9,526.852497,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,aug,1,6.49,86.26315789,17.5,240.5279844,18.5,268.8022944,1,28.27431
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,aug,0,6.49,86.26315789,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,aug,1,6.49,86.26315789,16.6,216.4241351,17.6,243.2847296,1,26.8605945
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,aug,13,6.49,86.26315789,50.5333,2005.602373,63.5333,3170.241465,13,1164.639092
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,aug,1,6.49,86.26315789,20.4,326.8510236,21.4,359.6806391,1,32.8296155
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,aug,0,6.49,86.26315789,19.4,295.5922031,19.4,295.5922031,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,aug,NA,NA,NA,36.5,1046.345819,NA,NA,NA,NA
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,aug,1,6.49,86.26315789,22.8,408.2810364,23.8,444.8805599,1,36.5995235
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,aug,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,aug,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,aug,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,aug,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,aug,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,aug,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,aug,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,aug,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,sep,0,3.06,82.20588235,23.6,437.4349916,23.6,437.4349916,0,0
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,sep,0,3.06,82.20588235,23.6,437.4349916,23.6,437.4349916,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,sep,0,3.06,82.20588235,13.8,149.5710999,13.8,149.5710999,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,sep,0,3.06,82.20588235,47.5738665,1777.568778,47.5738665,1777.568778,0,0
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,sep,NA,3.06,82.20588235,140.228219,15444.01984,NA,NA,NA,NA
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,sep,0,3.06,82.20588235,111.3295825,9734.433337,111.3295825,9734.433337,0,0
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,sep,1,2.3,80.92592593,131.116721,13502.23536,132.116721,13708.97825,1,206.7428873
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,sep,0,2.3,80.92592593,212.7144375,35537.21991,212.7144375,35537.21991,0,0
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,sep,0,2.3,80.92592593,15.5,188.6917494,15.5,188.6917494,0,0
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,sep,0,2.3,80.92592593,28.4,633.4702076,28.4,633.4702076,0,0
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2016,sep,1,2.3,80.92592593,13.3,138.9289638,14.3,160.6059348,1,21.676971
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2016,sep,0,2.3,80.92592593,20.6,333.2912831,20.6,333.2912831,0,0
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2016,sep,0,2.3,80.92592593,19.5,298.6473994,19.5,298.6473994,0,0
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2016,sep,0,2.3,80.92592593,15.85,197.3095234,15.85,197.3095234,0,0
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2016,sep,1,2.3,80.92592593,35.5,989.7971994,36.5,1046.345819,1,56.54862
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2016,sep,0,2.3,80.92592593,25.9,526.852497,25.9,526.852497,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,sep,0,2.3,80.92592593,18.5,268.8022944,18.5,268.8022944,0,0
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2016,sep,0,2.3,80.92592593,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,sep,0,2.3,80.92592593,17.6,243.2847296,17.6,243.2847296,0,0
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2016,sep,6,2.3,80.92592593,63.5333,3170.241465,69.5333,3797.302515,6,627.0610498
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2016,sep,0,2.3,80.92592593,21.4,359.6806391,21.4,359.6806391,0,0
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2016,sep,0,2.3,80.92592593,19.4,295.5922031,19.4,295.5922031,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,sep,0,2.3,80.92592593,36.5,1046.345819,36.5,1046.345819,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,sep,0,2.3,80.92592593,23.8,444.8805599,23.8,444.8805599,0,0
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,sep,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,sep,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,sep,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,sep,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,sep,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,sep,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,sep,NA,NA,NA,8,50.26544,NA,NA,NA,NA
