treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,growth,rain,temp,olddbh,oldBA,newdbh,newBA,mardbh,marba
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,aug,2,4.33,83.57575758,27,572.5547775,29,660.5192975,2,87.96452
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,aug,0,4.33,83.57575758,11.5,103.8688194,11.5,103.8688194,0,0
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,aug,NA,NA,NA,23.4,430.0522551,NA,NA,NA,NA
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,aug,1,4.33,83.57575758,10.3,83.32282078,11.3,100.2874068,1,16.964586
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,aug,3,4.33,83.57575758,13.6,145.2671216,16.6,216.4241351,3,71.1570135
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,aug,0,6,82.31,14.5,165.1298244,14.5,165.1298244,0,0
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,aug,1,6,82.31,11.6,105.6830876,12.6,124.6897071,1,19.0066195
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,aug,NA,NA,NA,17.5,240.5279844,NA,NA,NA,NA
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,aug,NA,NA,NA,20.9,343.069482,NA,NA,NA,NA
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,aug,NA,NA,NA,16.5,213.8244694,NA,NA,NA,NA
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,aug,NA,NA,NA,4.5,15.90429938,NA,NA,NA,NA
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,aug,NA,NA,NA,13.6,145.2671216,NA,NA,NA,NA
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,aug,NA,NA,NA,15.2,181.4582384,NA,NA,NA,NA
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,aug,NA,6,82.31,13.9,151.746651,NA,NA,NA,NA
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,aug,1.5,6,82.31,13.9,151.746651,15.4,186.2648711,1.5,34.51822013
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,aug,7,4.33,83.57575758,18.5,268.8022944,25.5,510.7047244,7,241.90243
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,aug,3,4.33,83.57575758,12.3,118.8227878,15.3,183.8537008,3,65.030913
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,aug,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,aug,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,aug,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,aug,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,aug,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,aug,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,aug,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,aug,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,sep,NA,NA,NA,12.3,118.8227878,NA,NA,NA,NA
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,sep,NA,NA,NA,14.6,167.4153311,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,sep,NA,NA,NA,11.3,100.2874068,NA,NA,NA,NA
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,sep,NA,NA,NA,13.2,136.8476604,NA,NA,NA,NA
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,sep,NA,NA,NA,30.1,711.577989,NA,NA,NA,NA
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,sep,NA,NA,NA,27,572.5547775,NA,NA,NA,NA
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,sep,NA,NA,NA,15.9,198.556342,NA,NA,NA,NA
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,sep,NA,NA,NA,29,660.5192975,NA,NA,NA,NA
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,sep,NA,NA,NA,11.5,103.8688194,NA,NA,NA,NA
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,sep,NA,NA,NA,23.4,430.0522551,NA,NA,NA,NA
